Data_raw,Final_project,Photos,Date,Stage,Species,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC01965,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO14,Ambient,Drought,DSC01939,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC01964,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC01963,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO34,Ambient+HW,Drought,DSC01962,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO39,Ambient,Drought,DSC01928,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO42,Ambient+HW,Drought,DSC01968,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO44,Ambient,Drought,DSC01941,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO45,Ambient,Drought,DSC01944,segmented,crop,JPG
data_raw,final_project,Photos,2021-10-21,Final,PIPO,PIPO49,Ambient,Drought,DSC01935,segmented,crop,JPG
